userid,education,region,hhsz,age,income,child,race,country,domain,date,product,qty,price
11443031,4.0,1.0,2,11.0,4,1,1,0,amazon.com,20070101,LEONARD WOOLF A BIOGRAPHY BOOKS VICTORIA GLENDINNING,1,19.8
11443031,4.0,1.0,2,11.0,4,1,1,0,amazon.com,20070101,THE VIEW FROM CASTLE ROCK STORIES BOOKS ALICE MUNRO,1,17.13
11443031,4.0,1.0,2,11.0,4,1,1,0,amazon.com,20070101,WILLIAM JAMES IN THE MAELSTROM OF AMERICAN MODERNISM BOOKS ROBERT D. RICHARDSON,1,19.8
11519009,,2.0,3,5.0,3,1,2,0,amazon.com,20070101,DRIVEN,1,2.0
11519009,,2.0,3,5.0,3,1,2,0,amazon.com,20070101,CHOCOLATE COVERED FORBIDDEN FRUIT,1,3.88
11519009,,2.0,3,5.0,3,1,2,0,amazon.com,20070101,DAMAGED GOODS: A NOVEL,1,0.2
11519009,,2.0,3,5.0,3,1,2,0,amazon.com,20070101,THE EX FACTOR: A NOVEL CONDITION: NEW,1,11.58
11519009,,2.0,3,5.0,3,1,2,0,amazon.com,20070101,THE GUIDE TO BECOMING THE SENSUOUS BLACK WOMAN (AND DRIVE YOUR MAN WILD IN AND OUT OF BED!) CONDITION: NEW,1,10.2
11519009,,2.0,3,5.0,3,1,2,0,amazon.com,20070101,BITCH CONDITION: NEW,1,10.2
11550824,,4.0,3,6.0,7,1,1,1,amazon.com,20070101,CURIOUS GEORGE 2007 WALL CALENDAR,1,13.79
12650861,4.0,1.0,5,7.0,6,1,1,0,amazon.com,20070101,RICKY RICOTTA'S MIGHTY ROBOT VS. STUPID STINKBUG FROM SATURN #06 (RICKY RICOTTA'S MIGHTY ROBOT) CONDITION: NEW,1,3.99
12650861,4.0,1.0,5,7.0,6,1,1,0,amazon.com,20070101,RICKY RICOTTA'S GIANT ROBOT VS. THE VOODOO VULTURES FROM VENUS (THE THIRD ROBOT ADVENTURE NOVEL) CONDITION: NEW,1,3.99
